name,perfume_url,brand,type,year,gender,family,image_url,concentration,facettes,date_creation,parfumeurs,description_title,description_text,notes_tete,notes_coeur,notes_fond
Acqua di Giò Profondo,https://www.olfastory.com/parfum/acqua-di-gio-profondo-0,Armani,Eau de toilette,2025,Homme,Aromatique,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/acqua-di-gio-profondo-eau-de-toilette.jpg?itok=N2WigyFu,Eau de toilette,Marine,2025,Alberto Morillas,Présentation du parfum,"Présentation du parfumImmersion dans le bleu profondSortie printemps 2025, cette Eau de Toilette revisite la signature marine d’Armani : plus aérienne que l’édition Parfum, elle retranscrit l’instant où la lumière filtre sous la surface. Conçue par Alberto Morillas, la composition unit fraîcheur, minéralité et élégance italienne.",Cardamome;Citron;Mandarine;Pamplemousse,Cyprès;Lavandin;Note marine;Sauge sclarée,Musc;Patchouli
L.12.12 Silver Grey,https://www.olfastory.com/parfum/l1212-silver-grey,Lacoste,Eau de parfum,2025,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/l1212-silver-grey-lacoste.jpg?itok=cZ-2tL94,Eau de parfum,Boisée,2025,Bruno Jovanovic,Présentation du parfum Lacoste L.12.12 Silver Grey,"Présentation du parfum Lacoste L.12.12 Silver GreyADN fougère-boisée sport-chicLancé au printemps 2025, Silver Grey incarne la veine athleisure de Lacoste : un souffle fougère-boisé qui marie mandarine zestée, encens minéral, lavande aromatique et ambrox boisé pour un contraste chaud-froid racé.Inspiration métallique & héritage poloLe flacon gris miroir rappelle la première raquette acier de René Lacoste et réinterprète le fameux « petit piqué » du polo L.12.12, symbole d’élégance décontractée.",Encens;Mandarine,Géranium;Lavande,Ambroxan;Vétiver
Original,https://www.olfastory.com/parfum/original,Lacoste,Extrait,2025,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/lacoste-orignal-pafum.jpg?itok=rijwQRYa,Extrait,Ambrée;Epicée,2025,Inconnu,Lacoste Original Parfum – Carte d’identité,"Lacoste Original Parfum – Carte d’identitéLe crocodile passe au concentré : énergie sport-chic à 25 %Quarante ans après le lancement du tout premier jus Lacoste, la marque dévoile Lacoste Original Parfum, nouveauté 2025 et version la plus intense jamais proposée. Formulé à 25 % d’essence aromatique, ce concentré réinterprète la fougère boisée emblématique en poussant chaque facette à son paroxysme : gingembre-cardamome plus piquants, lavande-encens plus fumés, tonka-patchouli plus enveloppants. Pensé comme le moment charnière où l’adrénaline du match cède la place à l’élégance du vestiaire privé, il célèbre le mantra maison : « Play Hard, Stay Original ».",Bergamote;Cardamome;Poivre,Lavande;Lavandin;Sauge sclarée,Fève tonka;Patchouli;Santal
A*Men Stellar,https://www.olfastory.com/parfum/amen-stellar,Thierry Mugler,Eau de parfum,2025,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/amen-stellar-mugler.jpg?itok=B5HndNvQ,Eau de parfum,Aromatique;Gourmande,2025,Jacques Huclier;Louise Turner,A*Men Stellar : la nouvelle détonation gourmande-cosmique signée Mugler,"A*Men Stellar : la nouvelle détonation gourmande-cosmique signée MuglerLa saga A*Men se propulse dans la galaxieDepuis 1996, A*Men réinvente la gourmandise masculine avec une succession de flankers toujours plus audacieux. Après les déclinaisons Pure Coffee, Pure Malt, Infrared ou Ultimate, Mugler présente en avril 2025 A*Men Stellar, un Eau de Parfum qui troque la signature café-patchouli originelle pour un accord pistache crémeuse percuté d’étincelles de bergamote et de lavandin lumineux. L’idée ? Offrir à l’icône « star-man » une ascension interstellaire, entre plaisir gourmand et facette métallique-boisée évoquant la coque d’un vaisseau spatial.",Bergamote;Lavande,Pistache,Notes Boisées
Code Elixir,https://www.olfastory.com/parfum/code-elixir,Armani,Eau de parfum,2025,Homme,Orientale,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/armani-code-elixir.jpg?itok=5NnpVdO3,Eau de parfum,Ambrée;Cuir;Epicée,2025,Inconnu,Armani Code Elixir : la nouvelle décharge d’intensité de Giorgio Armani,"Armani Code Elixir : la nouvelle décharge d’intensité de Giorgio ArmaniLe Code le plus concentré à ce jourDévoilé au printemps 2025, Armani Code Elixir se présente comme la version la plus puissante et la plus sensuelle de la lignée amorcée en 2004. Cette concentration parfum combine un cœur cuir-liquor à des épices fumées, sur une base de tonka grillée, offrant une facette ambrée-cuir inédite dans la collection.",Mandarine,Cuir,Fève tonka
Spicebomb Metallic Musk,https://www.olfastory.com/parfum/spicebomb-metallic-musk,Viktor & Rolf,Eau de parfum,2025,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/spicebomb-metallic-musk-viktor-rolf.jpg?itok=qXBd6Drd,Eau de parfum,Cuir;Epicée;Musquée,2025,Jean-Christophe Herault,Spicebomb Metallic Musk : la nouvelle décharge d’adrénaline chromée signée Viktor&Rolf,"Spicebomb Metallic Musk : la nouvelle décharge d’adrénaline chromée signée Viktor&RolfPourquoi « Metallic Musk » ?Lancé au printemps 2025, Spicebomb Metallic Musk représente la troisième évolution « collector » du célèbre flacon-grenade : après Infrared et Night Vision, Viktor&Rolf mise cette fois sur un contraste métal-chair où le poivre noir rencontre un nuage de muscs blancs.Les créateurs décrivent la fragrance comme « la collision d’une giclée d’épices brûlantes contre un miroir de daim argenté » – un clin d’œil à la veste lamée de leur défilé couture AH 2025 presque entièrement réalisée… en papier aluminium.",Agrumes;Aldéhydes,Cannelle;Lavandin;Poivre,Daim;Musc
Explorer Extreme,https://www.olfastory.com/parfum/explorer-extreme,Montblanc,Eau de parfum,2025,Homme,Boisée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/explorer-extreme-montblanc.jpg?itok=UkOGXb7j,Eau de parfum,Ambrée;Cuir,2025,Jordi Fernandez;Antoine Maisondieu,Explorer Extreme : la nouvelle aventure olfactive signée Montblanc,"Explorer Extreme : la nouvelle aventure olfactive signée MontblancDe Explorer (2019) à Explorer Extreme (2025)Six ans après le succès planétaire d’Explorer, Montblanc lève le voile sur Explorer Extreme, présenté en avant-première fin mai 2025 et mis en vente mondiale le 2 juin suivant.Conçu comme le chapitre le plus intense de la saga, ce flanker « Parfum » vise les aventuriers urbains en quête de sensations extrêmes : plus sombre, plus épicé, plus racé que l’original.",Bergamote,Patchouli;Vétiver,Ambre;Cuir;Notes Boisées
habit rouge privée,https://www.olfastory.com/parfum/habit-rouge-privee,Guerlain,Eau de parfum,2023,Homme,Hespéridée,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/habit-rouge-pivee.jpg?itok=r96Bpx22,Eau de parfum,Cuir,2023,Delphine Jelk,Inconnu,"La dynastie des Guerlain a toujours été profondément attachée aux chevaux. Pour preuve, Jean-Paul Guerlain était lui-même un dresseur hors pair et un cavalier émérite. C'est donc en s'inspirant de cette passion qu'il confectionna l'un de ses premiers parfums : Habit Rouge. Depuis sa sortie en 1965, cette fragrance masculine est considérée comme une légende olfactive. En 2023, Habit Rouge ne cesse d'ailleurs de faire parler de lui. Il revient dans un nouveau dérivé encore plus intense : Habit Rouge - Rouge Privé.",Bergamote;Gingembre,Iris;Fleur d'Oranger,Cuir;Vanille;Patchouli
Acqua di Giò Profondo,https://www.olfastory.com/parfum/acqua-di-gio-profondo-0,Armani,Eau de toilette,2025,Homme,Aromatique,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/acqua-di-gio-profondo-eau-de-toilette.jpg?itok=N2WigyFu,Eau de toilette,Marine,2025,Alberto Morillas,Présentation du parfum,"Présentation du parfumImmersion dans le bleu profondSortie printemps 2025, cette Eau de Toilette revisite la signature marine d’Armani : plus aérienne que l’édition Parfum, elle retranscrit l’instant où la lumière filtre sous la surface. Conçue par Alberto Morillas, la composition unit fraîcheur, minéralité et élégance italienne.",Cardamome;Citron;Mandarine;Pamplemousse,Cyprès;Lavandin;Note marine;Sauge sclarée,Musc;Patchouli
L.12.12 Silver Grey,https://www.olfastory.com/parfum/l1212-silver-grey,Lacoste,Eau de parfum,2025,Homme,Fougère,https://www.olfastory.com/sites/www.olfastory.com/files/styles/300x300/public/l1212-silver-grey-lacoste.jpg?itok=cZ-2tL94,Eau de parfum,Boisée,2025,Bruno Jovanovic,Présentation du parfum Lacoste L.12.12 Silver Grey,"Présentation du parfum Lacoste L.12.12 Silver GreyADN fougère-boisée sport-chicLancé au printemps 2025, Silver Grey incarne la veine athleisure de Lacoste : un souffle fougère-boisé qui marie mandarine zestée, encens minéral, lavande aromatique et ambrox boisé pour un contraste chaud-froid racé.Inspiration métallique & héritage poloLe flacon gris miroir rappelle la première raquette acier de René Lacoste et réinterprète le fameux « petit piqué » du polo L.12.12, symbole d’élégance décontractée.",Encens;Mandarine,Géranium;Lavande,Ambroxan;Vétiver
